Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Comments,property 4,property 5,property 6,total containers,total items,total unique items
1,Document,,,,,,,,,Draft,Falcon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,ER Diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Entity,Entity Relationship,2,,,,,,,,Subscriber,subcriber id,varchar,subscriber name,varchar,username,varchar,email,varchar,password,varchar,phone,varchar,subscribed,tinyint,created at,datetime,modified at,datetime,picture,varchar,,,,,,,
4,Entity,Entity Relationship,2,,,,,,,,Admin,admin id,varchar,name,varchar,username,varchar,email,varchar,password,varchar,is active,tinyint,created at,datetime,modified at,datetime,picture,varchar,,,,,,,,,
5,Entity,Entity Relationship,2,,,,,,,,Payments,payment id,varchar,subscriber id,varchar,subscription id,int,package name,varchar,price,int,duration,datetime,is due,tinyint,created at,datetime,modified at,datetime,,,,,,,,,
6,Entity,Entity Relationship,2,,,,,,,,Subscriptions,subscription id,int,subscriber id,varchar,subscriber name,Type,package name,varchar,price,int,duration,datetime,is active,tinyint,created at,datetime,modified at,datetime,,,,,,,,,
7,Entity,Entity Relationship,2,,,,,,,,Transactions,transaction id,varchar,subscriber id,varchar,subscriber name,varchar,payment id,varchar,package name,varchar,price,int,created at,datetime,,,,,,,,,,,,,
8,Entity,Entity Relationship,2,,,,,,,,Connections,connection id,varchar,subscriber id,varchar,subscription id,int,package name,varchar,duration,datetime,is due,tinyint,is active,tinyint,created at,datetime,modified at,datetime,,,,,,,,,
9,Entity,Entity Relationship,2,,,,,,,,Contact,query id,int,first name,varchar,last name,varchar,email,varchar,phone,int,description,text,,,,,,,,,,,,,,,
10,Database,Flowchart Shapes,2,,,,,,,,Database,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Line,,2,,,3,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Line,,2,,,3,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Line,,2,,,3,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Line,,2,,,4,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Line,,2,,,10,4,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Line,,2,,,3,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Line,,2,,,5,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Line,,2,,,8,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Line,,2,,,7,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Line,,2,,,9,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Line,,2,,,6,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Line,,2,,,3,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Line,,2,,,3,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Line,,2,,,6,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Line,,2,,,6,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Line,,2,,,6,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Line,,2,,,6,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Line,,2,,,6,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Line,,2,,,6,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Line,,2,,,6,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Line,,2,,,6,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Line,,2,,,6,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Line,,2,,,5,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Line,,2,,,5,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Line,,2,,,3,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Group 1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
37,Page,,,,,,,,,,UML Activity Diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,State Name,UML,37,,,,,,,,Homepage,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Branch/Merge,UML,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,State Name,UML,37,,,,,,,,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,State Name,UML,37,,,,,,,,View Subscription Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,State Name,UML,37,,,,,,,,Choose Subscription Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,State Name,UML,37,,,,,,,,Subscription Details,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,State Name,UML,37,,,,,,,,Cart,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,State Name,UML,37,,,,,,,,Checkbout,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,State Name,UML,37,,,,,,,,User Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,State Name,UML,37,,,,,,,,Checkbout,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,State Name,UML,37,,,,,,,,Register,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Branch/Merge,UML,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,State Name,UML,37,,,,,,,,View Subscription Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Line,,37,,,39,38,None,Arrow,,browse,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Line,,37,,,39,40,None,Arrow,,old user,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Line,,37,,,46,42,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Line,,37,,,42,43,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Line,,37,,,43,44,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Line,,37,,,44,45,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Line,,37,,,39,48,None,Arrow,,new user,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Line,,37,,,48,40,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Line,,37,,,40,49,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Line,,37,,,49,46,None,Arrow,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Line,,37,,,49,48,None,Arrow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Line,,37,,,38,41,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Line,,37,,,38,48,None,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
