Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,Falcon,
2,Page,,,,,,,,,,UML Activity Diagram (admin),
3,Connector,Flowchart Shapes,2,,,,,,,,Admin,
4,State Name,UML,2,,,,,,,,Login,
5,State Name,UML,2,,,,,,,,Admin Dashboard,
6,State Name,UML,2,,,,,,,,Admin Profile,
7,State Name,UML,2,,,,,,,,Users,
8,State Name,UML,2,,,,,,,,Subscriptions,
9,State Name,UML,2,,,,,,,,Payments,
10,State Name,UML,2,,,,,,,,Dues,
11,State Name,UML,2,,,,,,,,Transactions,
12,State Name,UML,2,,,,,,,,Connections,
13,State Name,UML,2,,,,,,,,User Connection Status,
14,Branch/Merge,UML,2,,,,,,,,,
15,State Name,UML,2,,,,,,,,User Subscription Details,
16,State Name,UML,2,,,,,,,,User Payments,
17,State Name,UML,2,,,,,,,,User Dues,
18,State Name,UML,2,,,,,,,,User Transactions,
19,Line,,2,,,3,4,None,Arrow,,,
20,Line,,2,,,5,9,None,Arrow,,,
21,Line,,2,,,5,8,None,Arrow,,,
22,Line,,2,,,5,7,None,Arrow,,,
23,Line,,2,,,5,6,None,Arrow,,,
24,Line,,2,,,5,10,None,Arrow,,,
25,Line,,2,,,5,11,None,Arrow,,,
26,Line,,2,,,5,12,None,Arrow,,,
27,Line,,2,,,14,5,None,Arrow,,Yes,
28,Line,,2,,,14,4,None,Arrow,,No,
29,Line,,2,,,4,14,None,Arrow,,,
30,Line,,2,,,7,13,None,Arrow,,,
31,Line,,2,,,7,15,None,Arrow,,,
32,Line,,2,,,7,16,None,Arrow,,,
33,Line,,2,,,7,17,None,Arrow,,,
34,Line,,2,,,7,18,None,Arrow,,,
35,Line,,2,,,8,15,None,Arrow,,,
36,Line,,2,,,9,16,None,Arrow,,,
37,Line,,2,,,10,17,None,Arrow,,,
38,Line,,2,,,11,18,None,Arrow,,,
39,Line,,2,,,12,13,None,Arrow,,,
